id_fornecedor,razao_social,nome_fantasia,cnpj,segmento,categoria_principal,porte,cidade,estado,telefone,email,status
1,Microsoft Brasil LTDA,Microsoft Brasil,10.496.582/0001-00,Tecnologia,Softwares,Grande,Pastor,SP,68 0013-3890,contato@microsoftbrasil.com.br,Ativo
2,Oracle Brasil LTDA,Oracle Brasil,83.619.420/0001-88,Cloud,Cloud,Grande,Sampaio,SP,68 5423-5116,contato@oraclebrasil.com.br,Ativo
3,Amazon AWS LTDA,Amazon AWS,15.842.037/0001-34,Cloud,Cloud,Grande,Garcia,MG,+55 38 8495-9310,contato@amazonaws.com.br,Ativo
4,Google Cloud LTDA,Google Cloud,34.167.095/0001-54,Cloud,Cloud,Grande,Porto de Fonseca,SP,+55 68 5534-1928,contato@googlecloud.com.br,Ativo
5,TOTVS LTDA,TOTVS,32.798.415/0001-49,Tecnologia,Softwares,Grande,Vargas do Norte,MG,+55 91 0564-1395,contato@totvs.com.br,Ativo
6,Dell Technologies LTDA,Dell Technologies,37.659.120/0001-05,Tecnologia,Softwares,Média,Souza,SP,0900 496 9653,contato@delltechnologies.com.br,Ativo
7,Cisco Brasil LTDA,Cisco Brasil,28.706.519/0001-09,Tecnologia,Softwares,Grande,Vieira,PR,68 9166-9784,contato@ciscobrasil.com.br,Ativo
8,Intel Brasil LTDA,Intel Brasil,80.154.269/0001-61,Tecnologia,Softwares,Média,Lopes da Serra,SP,81 0482-8148,contato@intelbrasil.com.br,Ativo
9,Lenovo Brasil LTDA,Lenovo Brasil,93.271.406/0001-90,Tecnologia,Softwares,Média,Mendonça do Sul,SP,+55 48 5430-3911,contato@lenovobrasil.com.br,Ativo
10,HP Brasil LTDA,HP Brasil,71.285.364/0001-03,Tecnologia,Softwares,Média,Cunha da Prata,RS,+55 83 4657-8713,contato@hpbrasil.com.br,Ativo
11,Claro Empresas LTDA,Claro Empresas,31.504.782/0001-20,Telefonia,Telefonia,Grande,Abreu,PR,+55 35 0310-5183,contato@claroempresas.com.br,Ativo
12,Vivo Empresas LTDA,Vivo Empresas,47.391.680/0001-85,Telefonia,Telefonia,Média,Jesus de Correia,SP,+55 44 1656-6701,contato@vivoempresas.com.br,Ativo
13,TIM Empresas LTDA,TIM Empresas,06.589.147/0001-45,Telefonia,Telefonia,Média,Carvalho de Lima,MG,+55 75 4731-7810,contato@timempresas.com.br,Ativo
14,JSL Logística LTDA,JSL Logística,80.167.534/0001-46,Logística,Fretes,Grande,Cunha de Guerra,MG,+55 32 2606-4746,contato@jsllogística.com.br,Ativo
15,Braspress LTDA,Braspress,87.219.605/0001-56,Transporte,Fretes,Grande,Souza,RS,28 0097-8820,contato@braspress.com.br,Ativo
16,Correios LTDA,Correios,81.204.693/0001-36,Transporte,Fretes,Média,Nunes,SP,+55 96 9909-1699,contato@correios.com.br,Ativo
17,Jadlog LTDA,Jadlog,85.419.263/0001-92,Transporte,Fretes,Média,Cardoso da Mata,SP,82 5107-9911,contato@jadlog.com.br,Ativo
